Node;Category;Type;IsMandatory;PossibleValues
/;Group;;TRUE;
/Conventions;Attribute;string;TRUE;ODIM_H5/V2_1
/what;Group;;TRUE;
/what/object;Attribute;string;TRUE;PVOL
/what/version;Attribute;string;TRUE;H5rad 2.1
/what/date;Attribute;string;TRUE;[1-2][0-9]{3}[0-1][0-9][0-3][0-9]
/what/time;Attribute;string;TRUE;[0-2][0-9][0-5][0-9][0-5][0-9]
/what/source;Attribute;string;TRUE;(WMO:.*)|(RAD:.*)|(PLC:.*)|(NOD:.*)|(ORG:.*)|(CTY:.*)|(CMT:.*)
/where;Group;;TRUE;
/where/lon;Attribute;real;TRUE;
/where/lat;Attribute;real;TRUE;
/where/height;Attribute;real;TRUE;
.*how;Group;;FALSE;
.*how/task;Attribute;string;FALSE;
.*how/startepochs;Attribute;real;FALSE;
.*how/endepochs;Attribute;real;FALSE;
.*how/system;Attribute;string;FALSE;
.*how/software;Attribute;string;FALSE;
.*how/sw_version;Attribute;string;FALSE;
.*how/zr_a;Attribute;real;FALSE;
.*how/zr_b;Attribute;real;FALSE;
.*how/kr_a;Attribute;real;FALSE;
.*how/kr_b;Attribute;real;FALSE;
.*how/simulated;Attribute;string;FALSE;(True)?(False)?
.*how/beamwidth;Attribute;real;FALSE;
.*how/wavelength;Attribute;real;FALSE;
.*how/rpm;Attribute;real;FALSE;
.*how/pulsewidth;Attribute;real;FALSE;
.*how/RXbandwidth;Attribute;real;FALSE;
.*how/lowprf;Attribute;real;FALSE;
.*how/highprf;Attribute;real;FALSE;
.*how/TXloss;Attribute;real;FALSE;
.*how/RXloss;Attribute;real;FALSE;
.*how/radomeloss;Attribute;real;FALSE;
.*how/antgain;Attribute;real;FALSE;
.*how/beamwH;Attribute;real;FALSE;
.*how/beamwV;Attribute;real;FALSE;
.*how/gasattn;Attribute;real;FALSE;
.*how/radconstH;Attribute;real;FALSE;
.*how/radconstV;Attribute;real;FALSE;
.*how/nomTXpower;Attribute;real;FALSE;
.*how/TXpower;Attribute;real;FALSE;
.*how/NI;Attribute;real;FALSE;
.*how/Vsamples;Attribute;integer;FALSE;
.*how/pointaccEL;Attribute;real;FALSE;
.*how/pointaccAZ;Attribute;real;FALSE;
.*how/malfunc;Attribute;string;FALSE;(True)?(False)?
.*how/radar_msg;Attribute;string;FALSE;
.*how/radhoriz;Attribute;real;FALSE;
.*how/NEZ;Attribute;real;FALSE;
.*how/OUR;Attribute;real;FALSE;
.*how/comment;Attribute;string;FALSE;
.*how/SQI;Attribute;real;FALSE;
.*how/CSR;Attribute;real;FALSE;
.*how/LOG;Attribute;real;FALSE;
.*how/VPRCorr;Attribute;string;FALSE;(True)?(False)?
.*how/freeze;Attribute;real;FALSE;
.*how/min;Attribute;real;FALSE;
.*how/max;Attribute;real;FALSE;
.*how/step;Attribute;real;FALSE;
.*how/levels;Attribute;integer;FALSE;
.*how/peakpwr;Attribute;real;FALSE;
.*how/avgpwr;Attribute;real;FALSE;
.*how/dynrange;Attribute;real;FALSE;
.*how/RAC;Attribute;real;FALSE;
.*how/BBC;Attribute;string;FALSE;(True)?(False)?
.*how/PAC;Attribute;real;FALSE;
.*how/S2N;Attribute;real;FALSE;
.*how/polarization;Attribute;string;FALSE;
.*how/azmethod;Attribute;string;FALSE;
.*how/binmethod;Attribute;string;FALSE;
.*how/elangles;Attribute;real;FALSE;
.*how/startazA;Attribute;real array;FALSE;
.*how/stopazA;Attribute;real;FALSE;
.*how/startazT;Attribute;real;FALSE;
.*how/stopazT;Attribute;real;FALSE;
/dataset[1-9][0-9]*;Group;;TRUE;
/dataset[1-9][0-9]*/what;Group;;TRUE;
/dataset[1-9][0-9]*/what/product;Attribute;string;TRUE;SCAN
/dataset[1-9][0-9]*/what/startdate;Attribute;string;TRUE;[1-2][0-9]{3}[0-1][0-9][0-3][0-9]
/dataset[1-9][0-9]*/what/starttime;Attribute;string;TRUE;[0-2][0-9][0-5][0-9][0-5][0-9]
/dataset[1-9][0-9]*/what/enddate;Attribute;string;TRUE;[1-2][0-9]{3}[0-1][0-9][0-3][0-9]
/dataset[1-9][0-9]*/what/endtime;Attribute;string;TRUE;[0-2][0-9][0-5][0-9][0-5][0-9]
/dataset[1-9][0-9]*/where;Group;;TRUE;
/dataset[1-9][0-9]*/where/elangle;Attribute;real;TRUE;
/dataset[1-9][0-9]*/where/a1gate;Attribute;integer;TRUE;
/dataset[1-9][0-9]*/where/nbins;Attribute;integer;TRUE;
/dataset[1-9][0-9]*/where/rstart;Attribute;real;TRUE;
/dataset[1-9][0-9]*/where/rscale;Attribute;real;TRUE;
/dataset[1-9][0-9]*/where/nrays;Attribute;integer;TRUE;
/dataset[1-9][0-9]*/data[1-9][0-9]*;Group;;TRUE;
/dataset[1-9][0-9]*/data[1-9][0-9]*/what;Group;;TRUE;
/dataset[1-9][0-9]*/data[1-9][0-9]*/what/quantity;Attribute;string;TRUE;
/dataset[1-9][0-9]*/data[1-9][0-9]*/what/gain;Attribute;real;TRUE;
/dataset[1-9][0-9]*/data[1-9][0-9]*/what/offset;Attribute;real;TRUE;
/dataset[1-9][0-9]*/data[1-9][0-9]*/what/nodata;Attribute;real;TRUE;
/dataset[1-9][0-9]*/data[1-9][0-9]*/what/undetect;Attribute;real;TRUE;
/dataset[1-9][0-9]*/data[1-9][0-9]*/data;Dataset;;TRUE;
.*/quality[1-9][0-9]*;Group;;FALSE;
.*/quality[1-9][0-9]*/what;Group;;FALSE;
.*/quality[1-9][0-9]*/what/quantity;Attribute;string;FALSE;
.*/quality[1-9][0-9]*/what/gain;Attribute;real;FALSE;
.*/quality[1-9][0-9]*/what/offset;Attribute;real;FALSE;
.*/quality[1-9][0-9]*/what/nodata;Attribute;real;FALSE;
.*/quality[1-9][0-9]*/what/undetect;Attribute;real;FALSE;
.*/quality[1-9][0-9]*/data;Dataset;;FALSE;
